Time_stamp,Electrodermal_activity
299.0,0.569918
299.25,0.568637
299.5,0.571199
299.75,0.571199
300.0,0.573760
300.25,0.571199
300.5,0.569918
300.75,0.568637
301.0,0.571199
301.25,0.572479
301.5,0.572479
301.75,0.571199
302.0,0.569918
302.25,0.572479
302.5,0.572479
302.75,0.572479
303.0,0.569918
303.25,0.569918
303.5,0.571199
303.75,0.571199
304.0,0.571199
304.25,0.572479
304.5,0.572479
304.75,0.569918
305.0,0.573760
305.25,0.572479
305.5,0.571199
305.75,0.571199
306.0,0.571199
306.25,0.571199
306.5,0.572479
306.75,0.571199
307.0,0.571199
307.25,0.569918
307.5,0.569918
307.75,0.572479
308.0,0.572479
308.25,0.569918
308.5,0.571199
308.75,0.569918
309.0,0.571199
309.25,0.572479
309.5,0.572479
309.75,0.569918
310.0,0.571199
310.25,0.572479
310.5,0.573760
310.75,0.573760
311.0,0.571199
311.25,0.571199
311.5,0.571199
311.75,0.575041
312.0,0.573760
312.25,0.573760
312.5,0.572479
312.75,0.571199
313.0,0.573760
313.25,0.572479
313.5,0.571199
313.75,0.566076
314.0,0.569918
314.25,0.572479
314.5,0.572479
314.75,0.571199
315.0,0.571199
315.25,0.569918
315.5,0.568637
315.75,0.572479
316.0,0.569918
316.25,0.571199
316.5,0.567356
316.75,0.568637
317.0,0.568637
317.25,0.568637
317.5,0.569918
317.75,0.571199
318.0,0.568637
318.25,0.568637
