Time_stamp,Value
1603462637.734375,-51.79
1603462637.75,-43.55
1603462637.765625,-33.07
1603462637.78125,-21.32
1603462637.796875,-9.37
1603462637.8125,1.82
1603462637.828125,11.52
1603462637.84375,19.25
1603462637.859375,24.80
1603462637.875,28.11
1603462637.890625,29.29
1603462637.90625,28.56
1603462637.921875,26.26
1603462637.9375,22.91
1603462637.953125,19.17
1603462637.96875,15.74
1603462637.984375,13.25
1603462638.0,12.05
1603462638.015625,12.22
1603462638.03125,13.54
1603462638.046875,15.64
1603462638.0625,18.12
1603462638.078125,20.70
1603462638.09375,23.16
1603462638.109375,25.36
1603462638.125,27.12
1603462638.140625,28.22
1603462638.15625,28.47
1603462638.171875,27.74
1603462638.1875,26.07
1603462638.203125,23.68
1603462638.21875,20.91
1603462638.234375,18.07
1603462638.25,15.41
1603462638.265625,13.03
1603462638.28125,10.90
1603462638.296875,8.95
1603462638.3125,7.04
1603462638.328125,5.08
1603462638.34375,2.98
1603462638.359375,0.76
1603462638.375,-1.52
1603462638.390625,-3.73
1603462638.40625,-5.76
1603462638.421875,-7.58
1603462638.4375,-9.30
1603462638.453125,-11.11
1603462638.46875,-13.22
1603462638.484375,-15.71
1603462638.5,-18.53
1603462638.515625,-21.49
1603462638.53125,-24.39
1603462638.546875,-27.09
1603462638.5625,-29.59
1603462638.578125,-31.97
1603462638.59375,-34.46
1603462638.609375,-37.29
1603462638.625,-40.72
1603462638.640625,-44.91
1603462638.65625,-49.81
1603462638.671875,-55.04
1603462638.6875,-59.81
1603462638.703125,-63.05
1603462638.71875,-63.64
1603462638.734375,-60.79
1603462638.75,-54.22
1603462638.765625,-44.35
1603462638.78125,-32.15
1603462638.796875,-18.92
1603462638.8125,-5.97
1603462638.828125,5.62
1603462638.84375,15.11
1603462638.859375,22.19
1603462638.875,26.89
1603462638.890625,29.46
1603462638.90625,30.31
1603462638.921875,29.88
1603462638.9375,28.55
1603462638.953125,26.70
1603462638.96875,24.64
1603462638.984375,22.62
1603462639.0,20.89
1603462639.015625,19.63
1603462639.03125,19.02
1603462639.046875,19.16
1603462639.0625,20.08
1603462639.078125,21.76
1603462639.09375,24.03
1603462639.109375,26.59
1603462639.125,29.02
1603462639.140625,30.86
1603462639.15625,31.70
1603462639.171875,31.35
1603462639.1875,29.88
1603462639.203125,27.62
1603462639.21875,25.01
1603462639.234375,22.48
1603462639.25,20.28
1603462639.265625,18.47
1603462639.28125,16.97
1603462639.296875,15.56
1603462639.3125,14.04
1603462639.328125,12.26
1603462639.34375,10.18
1603462639.359375,7.82
1603462639.375,5.31
1603462639.390625,2.79
1603462639.40625,0.38
1603462639.421875,-1.87
1603462639.4375,-4.04
1603462639.453125,-6.28
1603462639.46875,-8.76
1603462639.484375,-11.53
1603462639.5,-14.52
1603462639.515625,-17.55
1603462639.53125,-20.41
1603462639.546875,-22.98
1603462639.5625,-25.30
1603462639.578125,-27.54
1603462639.59375,-30.02
1603462639.609375,-33.10
1603462639.625,-37.02
1603462639.640625,-41.86
1603462639.65625,-47.28
