Time_stamp,X,Y,Z
1603462601.9375,22,25,55
1603462601.96875,20,25,54
1603462602.0,19,26,51
1603462602.03125,22,26,52
1603462602.0625,23,26,55
1603462602.09375,17,26,54
1603462602.125,21,26,52
1603462602.15625,21,26,53
1603462602.1875,20,26,53
1603462602.21875,20,26,52
1603462602.25,20,26,53
1603462602.28125,20,26,52
1603462602.3125,20,26,53
1603462602.34375,20,26,53
1603462602.375,21,26,52
1603462602.40625,20,26,53
1603462602.4375,21,26,53
1603462602.46875,20,26,53
1603462602.5,21,26,53
1603462602.53125,20,26,53
1603462602.5625,19,26,52
1603462602.59375,22,26,53
1603462602.625,22,26,53
1603462602.65625,21,26,52
1603462602.6875,20,25,53
1603462602.71875,21,26,52
1603462602.75,21,26,52
1603462602.78125,20,26,53
1603462602.8125,19,26,53
1603462602.84375,20,26,53
1603462602.875,20,26,53
1603462602.90625,20,26,53
1603462602.9375,20,26,53
1603462602.96875,20,26,52
1603462603.0,20,26,53
1603462603.03125,21,26,53
1603462603.0625,20,26,53
1603462603.09375,20,26,52
1603462603.125,21,26,53
1603462603.15625,20,26,53
1603462603.1875,21,26,53
1603462603.21875,20,26,53
1603462603.25,21,26,53
1603462603.28125,21,26,53
1603462603.3125,21,26,53
1603462603.34375,21,26,52
1603462603.375,20,26,53
1603462603.40625,21,26,53
1603462603.4375,21,26,52
1603462603.46875,21,26,52
1603462603.5,21,26,53
1603462603.53125,21,26,53
1603462603.5625,21,26,52
1603462603.59375,20,26,53
1603462603.625,21,26,53
1603462603.65625,21,26,52
1603462603.6875,20,26,53
1603462603.71875,21,26,53
1603462603.75,21,26,52
1603462603.78125,21,26,53
1603462603.8125,21,26,52
1603462603.84375,21,26,53
1603462603.875,21,26,52
1603462603.90625,21,26,52
1603462603.9375,21,26,53
1603462603.96875,21,26,52
1603462604.0,21,26,53
1603462604.03125,21,26,52
1603462604.0625,21,26,53
1603462604.09375,20,26,52
1603462604.125,21,26,52
1603462604.15625,21,26,52
1603462604.1875,21,26,52
1603462604.21875,20,26,53
1603462604.25,21,26,52
1603462604.28125,21,26,53
1603462604.3125,21,26,53
1603462604.34375,21,26,53
1603462604.375,21,26,53
1603462604.40625,21,26,53
1603462604.4375,21,26,53
1603462604.46875,21,26,52
1603462604.5,21,26,52
1603462604.53125,21,26,52
1603462604.5625,21,26,53
1603462604.59375,21,26,52
1603462604.625,21,26,53
1603462604.65625,21,26,52
1603462604.6875,21,26,52
1603462604.71875,21,26,52
1603462604.75,21,26,52
1603462604.78125,21,26,52
1603462604.8125,21,26,52
1603462604.84375,21,26,53
1603462604.875,21,26,53
1603462604.90625,21,26,52
1603462604.9375,21,26,53
1603462604.96875,21,26,52
1603462605.0,21,26,53
1603462605.03125,21,26,52
1603462605.0625,21,26,53
1603462605.09375,21,26,52
1603462605.125,21,26,53
1603462605.15625,21,26,52
1603462605.1875,21,26,53
1603462605.21875,21,26,53
1603462605.25,21,26,53
1603462605.28125,21,26,53
1603462605.3125,21,26,53
1603462605.34375,21,26,53
1603462605.375,21,26,53
1603462605.40625,21,26,53
1603462605.4375,21,26,53
1603462605.46875,20,26,53
1603462605.5,21,26,52
1603462605.53125,21,26,53
1603462605.5625,21,26,53
